age,d18O,Ca2
20600,-42.01,196.06
20600,-41.92,145.8
20620,-41.92,145.8
20620,-42.42,166.49
20640,-42.42,166.49
20640,-40.62,200.3
20660,-40.62,200.3
20660,-40.06,129.39
20680,-40.06,129.39
20680,-43.6,225.71
20700,-43.6,225.71
20700,-42.11,178.03
20720,-42.11,178.03
20720,-39.96,176.89
20740,-39.96,176.89
20740,-42.73,211.75
20760,-42.73,211.75
20760,-42.4,228.78
20780,-42.4,228.78
20780,-42.98,274.94
20800,-42.98,274.94
20800,-40.69,238.69
20820,-40.69,238.69
20820,-43.37,227.27
20840,-43.37,227.27
20840,-42.53,209.3
20860,-42.53,209.3
20860,-42.1,234.29
20880,-42.1,234.29
20880,-43.3,292.54
20900,-43.3,292.54
20900,-42.24,281.37
20920,-42.24,281.37
20920,-43.94,272.66
20940,-43.94,272.66
20940,-42.94,223.48
20960,-42.94,223.48
20960,-43.11,260.93
20980,-43.11,260.93
20980,-44.82,290.71
21000,-44.82,290.71
21000,-43.49,216.74
21020,-43.49,216.74
21020,-42.53,213.5
21040,-42.53,213.5
21040,-42.27,271.36
21060,-42.27,271.36
21060,-43.66,310.84
21080,-43.66,310.84
21080,-43.27,221.47
21100,-43.27,221.47
21100,-42.69,301.72
21120,-42.69,301.72
21120,-41.84,258.33
21140,-41.84,258.33
21140,-42.07,257.41
21160,-42.07,257.41
21160,-41.91,253.61
21180,-41.91,253.61
21180,-43.89,293.87
21200,-43.89,293.87
21200,-42.88,279.3
21220,-42.88,279.3
21220,-43.89,304.99
21240,-43.89,304.99
21240,-42.6,255.7
21260,-42.6,255.7
21260,-42.67,220.26
21280,-42.67,220.26
21280,-41.03,246.22
21300,-41.03,246.22
21300,-41.95,236.51
21320,-41.95,236.51
21340,-43.84,282.14
21360,-43.84,282.14
21360,-42.06,242.85
21380,-42.06,242.85
21380,-42.53,289.35
21400,-42.53,289.35
21400,-43.75,319.69
21420,-43.75,319.69
21420,-41.22,275.32
21440,-41.22,275.32
21440,-42.39,255.42
21460,-42.39,255.42
21460,-43.02,309.38
21480,-43.02,309.38
21480,-44.59,336.75
21500,-44.59,336.75
21500,-41.84,301.75
21520,-41.84,301.75
21520,-42.03,289.69
21540,-42.03,289.69
21540,-42.88,279.79
21560,-42.88,279.79
21560,-42.08,281.84
21580,-42.08,281.84
21580,-41.04,328.45
21600,-41.04,328.45
21600,-42.84,324.11
21620,-42.84,324.11
21620,-41.93,283.66
21640,-41.93,283.66
21640,-43.38,317.87
21660,-43.38,317.87
21660,-42.04,321.29
21680,-42.04,321.29
21680,-41.57,368.12
21700,-41.57,368.12
21700,-44.16,408.41
21720,-44.16,408.41
21720,-43.92,345.33
21740,-43.92,345.33
21740,-42.48,373.23
21760,-42.48,373.23
21760,-43.7,410.54
21780,-43.7,410.54
21780,-43.52,289.12
21800,-43.52,289.12
21800,-43.11,278.74
21820,-43.11,278.74
21820,-42.75,291.52
21840,-42.75,291.52
21840,-43.6,294.63
21860,-43.6,294.63
21860,-43.13,211.45
21880,-43.13,211.45
21880,-41.33,208.93
21900,-41.33,208.93
21900,-41.92,283.51
21920,-41.92,283.51
21920,-42.26,269.75
21940,-42.26,269.75
21940,-42.44,292.73
21960,-42.44,292.73
21960,-42.68,264.46
21980,-42.68,264.46
21980,-42.61,248.86
22000,-42.61,248.86
